name,name2,party,vote,state,state2,party2,vote2,cross_party,storm,sharevote
Angus King,Michael “Mike” Crapo,Democrat,1,ME,ID,Republican,1,0,0,1
Angus King,Michael Bennet,Democrat,1,ME,CO,Democrat,1,1,0,1
Angus King,Michael Enzi,Democrat,1,ME,WY,Republican,1,0,0,1
Angus King,Mike Rounds,Democrat,1,ME,SD,Republican,1,0,0,1
Angus King,Mitch McConnell,Democrat,1,ME,KY,Republican,1,0,0,1
Angus King,Orrin Hatch,Democrat,1,ME,UT,Republican,1,0,0,1
Angus King,Pat Roberts,Democrat,1,ME,KS,Republican,1,0,0,1
Angus King,Patrick “Pat” Toomey,Democrat,1,ME,PA,Republican,1,0,0,1
Angus King,Patrick Leahy,Democrat,1,ME,VT,Democrat,1,1,0,1
Angus King,Patty Murray,Democrat,1,ME,WA,Democrat,1,1,0,1
Angus King,Rand Paul,Democrat,1,ME,KY,Republican,1,0,0,1
Angus King,Richard Blumenthal,Democrat,1,ME,CT,Democrat,1,1,0,1
Angus King,Richard Burr,Democrat,1,ME,NC,Republican,1,0,0,1
Angus King,Richard Durbin,Democrat,1,ME,IL,Democrat,1,1,0,1
Angus King,Richard Shelby,Democrat,1,ME,AL,Republican,1,0,0,1
Angus King,Robert “Bob” Casey,Democrat,1,ME,PA,Democrat,1,1,0,1
Angus King,Robert “Bob” Menendez,Democrat,1,ME,NJ,Democrat,1,1,0,1
Angus King,Robert “Rob” Portman,Democrat,1,ME,OH,Republican,1,0,0,1
Angus King,Roger Wicker,Democrat,1,ME,MS,Republican,1,0,0,1
Angus King,Ron Johnson,Democrat,1,ME,WI,Republican,1,0,0,1
Angus King,Ron Wyden,Democrat,1,ME,OR,Democrat,1,1,0,1
Angus King,Roy Blunt,Democrat,1,ME,MO,Republican,1,0,0,1
Angus King,Sheldon Whitehouse,Democrat,1,ME,RI,Democrat,1,1,0,1
Angus King,Shelley Moore Capito,Democrat,1,ME,WV,Republican,1,0,0,1
Angus King,Sherrod Brown,Democrat,1,ME,OH,Democrat,1,1,0,1
Angus King,Steve Daines,Democrat,1,ME,MT,Republican,1,0,0,1
Angus King,Susan Collins,Democrat,1,ME,ME,Republican,1,0,0,1
Angus King,Tammy Baldwin,Democrat,1,ME,WI,Democrat,1,1,0,1
Angus King,Tammy Duckworth,Democrat,1,ME,IL,Democrat,1,1,0,1
Angus King,Ted Cruz,Democrat,1,ME,TX,Republican,1,0,0,1
Angus King,Thom Tillis,Democrat,1,ME,NC,Republican,1,0,0,1
Angus King,Thomas Carper,Democrat,1,ME,DE,Democrat,1,1,0,1
Angus King,Tim Scott,Democrat,1,ME,SC,Republican,1,0,0,1
Angus King,Timothy “Tim” Kaine,Democrat,1,ME,VA,Democrat,1,1,0,1
Angus King,Tina Smith,Democrat,1,ME,MN,Democrat,1,1,0,1
Angus King,Todd Young,Democrat,1,ME,IN,Republican,1,0,0,1
Angus King,Tom Cotton,Democrat,1,ME,AR,Republican,1,0,0,1
Angus King,Tom Udall,Democrat,1,ME,NM,Democrat,1,1,0,1
Benjamin “Ben” Sasse,Amy Klobuchar,Republican,1,NE,MN,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Angus King,Republican,1,NE,ME,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Benjamin Cardin,Republican,1,NE,MD,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Bernard “Bernie” Sanders,Republican,1,NE,VT,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Bill Cassidy,Republican,1,NE,LA,Republican,1,1,0,1
Benjamin “Ben” Sasse,Bill Nelson,Republican,1,NE,FL,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Bob Corker,Republican,1,NE,TN,Republican,1,1,0,1
Benjamin “Ben” Sasse,Brian Schatz,Republican,1,NE,HI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Catherine Cortez Masto,Republican,1,NE,NV,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Charles “Chuck” Grassley,Republican,1,NE,IA,Republican,1,1,0,1
Benjamin “Ben” Sasse,Charles “Chuck” Schumer,Republican,1,NE,NY,Democrat,1,0,0,1
