name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Barbara Boxer,Martin Heinrich,CA,1,Democrat,NM,1,Democrat,1,0,1
Barbara Boxer,Mary Landrieu,CA,1,Democrat,LA,1,Democrat,1,0,1
Barbara Boxer,Mazie Hirono,CA,1,Democrat,HI,1,Democrat,1,0,1
Barbara Boxer,Michael Bennet,CA,1,Democrat,CO,1,Democrat,1,0,1
Barbara Boxer,Michael Enzi,CA,1,Democrat,WY,1,Republican,0,0,1
Barbara Boxer,Mike Johanns,CA,1,Democrat,NE,1,Republican,0,0,1
Barbara Boxer,Mitch McConnell,CA,1,Democrat,KY,1,Republican,0,0,1
Barbara Boxer,Patrick Leahy,CA,1,Democrat,VT,1,Democrat,1,0,1
Barbara Boxer,Patty Murray,CA,1,Democrat,WA,1,Democrat,1,0,1
Barbara Boxer,Richard Blumenthal,CA,1,Democrat,CT,1,Democrat,1,0,1
Barbara Boxer,Richard Durbin,CA,1,Democrat,IL,1,Democrat,1,0,1
Barbara Boxer,Robert “Bob” Casey,CA,1,Democrat,PA,1,Democrat,1,0,1
Barbara Boxer,Robert “Bob” Menendez,CA,1,Democrat,NJ,1,Democrat,1,0,1
Barbara Boxer,Roger Wicker,CA,1,Democrat,MS,1,Republican,0,0,1
Barbara Boxer,Ron Wyden,CA,1,Democrat,OR,1,Democrat,1,0,1
Barbara Boxer,Roy Blunt,CA,1,Democrat,MO,1,Republican,0,0,1
Barbara Boxer,Saxby Chambliss,CA,1,Democrat,GA,1,Republican,0,0,1
Barbara Boxer,Sheldon Whitehouse,CA,1,Democrat,RI,1,Democrat,1,0,1
Barbara Boxer,Sherrod Brown,CA,1,Democrat,OH,1,Democrat,1,0,1
Barbara Boxer,Susan Collins,CA,1,Democrat,ME,1,Republican,0,0,1
Barbara Boxer,Tammy Baldwin,CA,1,Democrat,WI,1,Democrat,1,0,1
Barbara Boxer,Thad Cochran,CA,1,Democrat,MS,1,Republican,0,0,1
Barbara Boxer,Thomas “Tom” Harkin,CA,1,Democrat,IA,1,Democrat,1,0,1
Barbara Boxer,Thomas Carper,CA,1,Democrat,DE,1,Democrat,1,0,1
Barbara Boxer,Tim Johnson,CA,1,Democrat,SD,1,Democrat,1,0,1
Barbara Boxer,Timothy “Tim” Kaine,CA,1,Democrat,VA,1,Democrat,1,0,1
Barbara Boxer,Tom Udall,CA,1,Democrat,NM,1,Democrat,1,0,1
Barbara Mikulski,Alan “Al” Franken,MD,1,Democrat,MN,1,Democrat,1,0,1
Barbara Mikulski,Amy Klobuchar,MD,1,Democrat,MN,1,Democrat,1,0,1
Barbara Mikulski,Angus King,MD,1,Democrat,ME,1,Independent,0,0,1
Barbara Mikulski,Barbara Boxer,MD,1,Democrat,CA,1,Democrat,1,0,1
Barbara Mikulski,Benjamin Cardin,MD,1,Democrat,MD,1,Democrat,1,1,1
Barbara Mikulski,Bernard “Bernie” Sanders,MD,1,Democrat,VT,1,Independent,0,0,1
Barbara Mikulski,Bill Nelson,MD,1,Democrat,FL,1,Democrat,1,0,1
