name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Angus King,Claire McCaskill,ME,1,Independent,MO,1,Democrat,0,0,1
Angus King,Cory Booker,ME,1,Independent,NJ,1,Democrat,0,0,1
Angus King,Cory Gardner,ME,1,Independent,CO,1,Republican,0,0,1
Angus King,Dan Sullivan,ME,1,Independent,AK,,Republican,0,0,
Angus King,David Perdue,ME,1,Independent,GA,1,Republican,0,0,1
Angus King,Dean Heller,ME,1,Independent,NV,1,Republican,0,0,1
Angus King,Deb Fischer,ME,1,Independent,NE,0,Republican,0,0,0
Angus King,Debbie Stabenow,ME,1,Independent,MI,1,Democrat,0,0,1
Angus King,Dianne Feinstein,ME,1,Independent,CA,1,Democrat,0,0,1
Angus King,Edward “Ed” Markey,ME,1,Independent,MA,1,Democrat,0,0,1
Angus King,Elizabeth Warren,ME,1,Independent,MA,1,Democrat,0,0,1
Angus King,Gary Peters,ME,1,Independent,MI,1,Democrat,0,0,1
Angus King,Heidi Heitkamp,ME,1,Independent,ND,1,Democrat,0,0,1
Angus King,James “Jim” Inhofe,ME,1,Independent,OK,1,Republican,0,0,1
Angus King,James Lankford,ME,1,Independent,OK,0,Republican,0,0,0
Angus King,James Risch,ME,1,Independent,ID,0,Republican,0,0,0
Angus King,Jeanne Shaheen,ME,1,Independent,NH,1,Democrat,0,0,1
Angus King,Jeff Flake,ME,1,Independent,AZ,0,Republican,0,0,0
Angus King,Jeff Merkley,ME,1,Independent,OR,1,Democrat,0,0,1
Angus King,Jerry Moran,ME,1,Independent,KS,0,Republican,0,0,0
Angus King,Joe Donnelly,ME,1,Independent,IN,1,Democrat,0,0,1
Angus King,Joe Manchin,ME,1,Independent,WV,1,Democrat,0,0,1
Angus King,John “Johnny” Isakson,ME,1,Independent,GA,1,Republican,0,0,1
Angus King,John Barrasso,ME,1,Independent,WY,1,Republican,0,0,1
Angus King,John Boozman,ME,1,Independent,AR,1,Republican,0,0,1
Angus King,John Cornyn,ME,1,Independent,TX,1,Republican,0,0,1
Angus King,John F. “Jack” Reed,ME,1,Independent,RI,1,Democrat,0,0,1
Angus King,John Hoeven,ME,1,Independent,ND,1,Republican,0,0,1
Angus King,John McCain,ME,1,Independent,AZ,0,Republican,0,0,0
Angus King,John Neely Kennedy,ME,1,Independent,LA,1,Republican,0,0,1
Angus King,John Thune,ME,1,Independent,SD,1,Republican,0,0,1
Angus King,Jon Tester,ME,1,Independent,MT,1,Democrat,0,0,1
Angus King,Joni Ernst,ME,1,Independent,IA,0,Republican,0,0,0
Angus King,Kamala Harris,ME,1,Independent,CA,1,Democrat,0,0,1
Angus King,Kirsten Gillibrand,ME,1,Independent,NY,1,Democrat,0,0,1
Angus King,Lamar Alexander,ME,1,Independent,TN,1,Republican,0,0,1
Angus King,Lindsey Graham,ME,1,Independent,SC,0,Republican,0,0,0
Angus King,Lisa Murkowski,ME,1,Independent,AK,1,Republican,0,0,1
Angus King,Luther Strange,ME,1,Independent,AL,1,Republican,0,0,1
Angus King,Marco Rubio,ME,1,Independent,FL,,Republican,0,0,
Angus King,Margaret “Maggie” Hassan,ME,1,Independent,NH,1,Democrat,0,0,1
Angus King,Maria Cantwell,ME,1,Independent,WA,1,Democrat,0,0,1
Angus King,Mark Warner,ME,1,Independent,VA,1,Democrat,0,0,1
Angus King,Martin Heinrich,ME,1,Independent,NM,1,Democrat,0,0,1
Angus King,Mazie Hirono,ME,1,Independent,HI,1,Democrat,0,0,1
Angus King,Michael “Mike” Crapo,ME,1,Independent,ID,1,Republican,0,0,1
Angus King,Michael Bennet,ME,1,Independent,CO,1,Democrat,0,0,1
Angus King,Michael Enzi,ME,1,Independent,WY,0,Republican,0,0,0
Angus King,Mike Lee,ME,1,Independent,UT,0,Republican,0,0,0
Angus King,Mike Rounds,ME,1,Independent,SD,1,Republican,0,0,1
Angus King,Mitch McConnell,ME,1,Independent,KY,1,Republican,0,0,1
Angus King,Orrin Hatch,ME,1,Independent,UT,1,Republican,0,0,1
Angus King,Pat Roberts,ME,1,Independent,KS,1,Republican,0,0,1
Angus King,Patrick “Pat” Toomey,ME,1,Independent,PA,0,Republican,0,0,0
Angus King,Patrick Leahy,ME,1,Independent,VT,1,Democrat,0,0,1
Angus King,Patty Murray,ME,1,Independent,WA,1,Democrat,0,0,1
Angus King,Rand Paul,ME,1,Independent,KY,0,Republican,0,0,0
Angus King,Richard Blumenthal,ME,1,Independent,CT,1,Democrat,0,0,1
Angus King,Richard Burr,ME,1,Independent,NC,1,Republican,0,0,1
